country_code,country,year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
HN,Honduras,2021,39.3653983599255,2.84361329738544,12.5652843771279,2735.14751503977,4.48087963413445,10289877.0,,8.506
HN,Honduras,2022,42.4391817948962,2.41292398026651,4.14356194013767,3003.28996826399,9.08963911525025,10463872.0,,8.774
HN,Honduras,2023,37.3686804713719,3.16136364280263,3.57584760454412,3227.45762509776,6.66325180347457,10644851.0,,6.07
HN,Honduras,2024,33.5491009940495,3.52903749551745,3.55397003296669,3426.43483328923,4.60621098127107,10825703.0,,4.91
NI,Nicaragua,2000,20.1081658866931,5.21568567857809,4.10159025073438,1017.3124434882,7.06991352252517,5022633.0,581000.0,7.181
NI,Nicaragua,2001,19.0419108824493,2.80655753554232,2.96084349057273,1051.874235891,5.98604186279518,5087825.0,584000.0,7.222
NI,Nicaragua,2002,18.8471358845682,3.90334311480045,0.753938876079573,1014.3339042591,3.75017465778466,5149909.0,579000.0,7.517
NI,Nicaragua,2003,20.704998914845,3.78225034215297,2.52073289551447,1021.35216668794,5.30238773219936,5210963.0,646000.0,7.6
NI,Nicaragua,2004,23.0598557398256,4.31560328721207,5.31217056950739,1098.62118662335,8.47021063584077,5272912.0,735000.0,6.41
NI,Nicaragua,2005,24.3821308946094,3.81407422484717,4.28239833770654,1183.30214010175,9.59909986064425,5342105.0,804000.0,5.37
NI,Nicaragua,2006,31.2666288650856,4.24030000066427,4.15294559846254,1248.17371577788,9.1401996677772,5418855.0,891000.0,5.31
NI,Nicaragua,2007,33.0635730423674,5.14186605474194,5.0763520180987,1350.38145753377,11.1269347446118,5497243.0,978000.0,4.89
NI,Nicaragua,2008,34.4704620011048,7.38263377911966,3.43571693608081,1523.68437086409,19.8262031287429,5576593.0,1011000.0,6.2
NI,Nicaragua,2009,33.9814942096139,5.22852820149836,-3.2926651586197,1467.08288052845,3.68700160498797,5656601.0,1010000.0,8.16
NI,Nicaragua,2010,40.4671151559929,5.59335824334059,4.41009911716546,1526.56706951408,5.45513425887423,5737450.0,1071000.0,7.83
NI,Nicaragua,2011,45.0169781525763,9.5791738556055,6.31668553491842,1679.71192084633,8.082387980991,5819051.0,1122000.0,6.613
NI,Nicaragua,2012,47.4691755587782,7.36516075625111,6.4961364710876,1784.69836017555,7.1935505333896,5901287.0,1233000.0,5.208
NI,Nicaragua,2013,45.2142694902064,8.78722600899979,4.92709413447304,1835.43996363715,7.13546785289407,5983845.0,1273000.0,5.28
NI,Nicaragua,2014,45.008072249634,9.06363827053251,4.78546013589983,1958.37047579547,6.03596861798425,6066492.0,1390000.0,4.52
NI,Nicaragua,2015,40.0837782888412,7.58033255797744,4.79226768332697,2074.45620634731,3.99737996694396,6149417.0,1456000.0,4.7
NI,Nicaragua,2016,38.8820263906579,7.44462628012218,4.56314739524967,2131.68704828322,3.52317317628473,6232666.0,1596000.0,3.9
NI,Nicaragua,2017,41.338969262606,7.51057620596971,4.63120757580209,2182.61380995674,3.85067166284727,6316231.0,1958000.0,3.3
NI,Nicaragua,2018,42.2771474372665,6.43060058137235,-3.3633566598573,2035.16549390507,4.94723728039886,6400080.0,1412000.0,5.2
NI,Nicaragua,2019,44.8044297851925,3.96093444094211,-2.89686986728901,1958.62051528095,5.37628990844126,6483657.0,1455000.0,5.457
NI,Nicaragua,2020,41.7461005411755,5.86574902695673,-2.23654176262323,1938.44704754382,3.68181341625572,6565267.0,474000.0,6.18
NI,Nicaragua,2021,46.4042430642905,7.36996621393819,10.454389484408,2138.38588469449,4.92841396948968,6644741.0,,6.076
NI,Nicaragua,2022,49.8957747358309,8.23239650343154,3.55029945613975,2322.89053964583,10.4674244465991,6730654.0,,4.969
NI,Nicaragua,2023,45.8493717732877,6.25581189724963,4.42774384760374,2609.44492072931,8.38765854872536,6823613.0,,4.698
